job_id,source_job_id,alias_no,alias_name
JT0023,23,2,造園施工管理技術者
JT0023,23,3,土木工事現場監督
JT0025,25,1,CADオペレーター（建築製図）
JT0025,25,2,CADオペレーター（機械製図）
JT0025,25,3,CADオペレーター（電気・電子製図）
JT0025,25,4,機械部品製図工
JT0025,25,5,造船製図工
JT0026,26,1,大道具係
JT0026,26,2,建築大工
JT0026,26,3,墨出し工（大工）
JT0026,26,4,造作大工
JT0026,26,5,舞台製作大工
JT0026,26,6,プレハブ住宅組立工（大工）
JT0026,26,7,町大工
JT0026,26,8,宮大工
JT0027,27,1,型枠解体工
JT0027,27,2,型枠工
JT0027,27,3,コンクリート型枠組工
JT0028,28,1,建築鉄筋工
JT0028,28,2,土木鉄筋工
JT0029,29,1,鉄骨製造設備オペレーター
JT0029,29,2,機械鉄工
JT0029,29,3,橋りょう鉄工
JT0029,29,4,建築鉄工
JT0029,29,5,造船鉄工
JT0030,30,1,足場組立工
JT0030,30,2,橋梁とび工
JT0030,30,3,建築とび工
JT0030,30,4,重量物とび職
JT0030,30,5,鉄骨とび工
JT0030,30,6,とび職
JT0031,31,1,くい打機（杭打機）運転工
JT0031,31,2,掘削機械運転工
JT0031,31,3,建設用機械車両運転工
JT0031,31,4,ショベルカー運転工
JT0031,31,5,重機オペレーター（建設機械）
JT0031,31,6,整地機械運転工
JT0031,31,7,トラッククレーン運転工
JT0031,31,8,ブルドーザ運転工
JT0031,31,9,ブレーカ運転工
JT0031,31,10,ホイルローダー運転工
JT0031,31,11,ロードローラ運転工
JT0031,31,12,ダンプ運転手
JT0031,31,13,ダンプトラック運転手
JT0031,31,14,ガントリークレーンオペレーター
JT0031,31,15,デリック運転工
JT0031,31,16,揚貨装置運転工
JT0032,32,1,建設作業員
JT0032,32,2,コンクリート作業員
JT0032,32,3,護岸工事作業員
JT0032,32,4,造園土木作業員
JT0032,32,5,土木作業員
JT0033,33,1,サルベージ作業員
JT0033,33,2,水中調査・潜水士（建設工事）
JT0033,33,3,潜水作業員
JT0033,33,4,潜水漁師
JT0033,33,5,潜水士（海難救助）
JT0035,35,1,さく井機械運転工
JT0035,35,2,試すい工
JT0035,35,3,ボーリング機械運転工
JT0036,36,1,アスファルト舗装作業員
JT0036,36,2,インターロッキング舗装工
JT0036,36,3,コンクリートブロック舗装工
JT0036,36,4,コンクリート舗装作業員
JT0036,36,5,道路補修作業員
JT0036,36,6,道路舗装作業員
JT0036,36,7,舗装切断工
JT0037,37,1,建築ブロック工
JT0037,37,2,ブロック積工
JT0038,38,1,タイル壁張工
JT0038,38,2,タイル張工（見習）
JT0038,38,3,タイル床張工
JT0039,39,1,左官職
JT0039,39,2,左官手元
JT0039,39,3,左官吹付工
JT0039,39,4,モルタル塗工
JT0039,39,5,ラス張工
JT0040,40,1,金属サイディング工
JT0040,40,2,金属屋根ふき工
JT0040,40,3,建築板金工
JT0040,40,4,ダクト工
JT0041,41,1,金属サッシ取付工
JT0041,41,2,金属製ドア取付工
JT0041,41,3,シャッター取付工
JT0042,42,1,クロス張り職
JT0042,42,2,ゴム床張工
JT0042,42,3,室内装飾工
JT0042,42,4,じゅうたん張工
JT0042,42,5,プラスチック床張工
JT0042,42,6,壁装工
JT0042,42,7,リノリウム床張工
JT0043,43,1,家屋塗装工
JT0043,43,2,住宅塗装工
JT0043,43,3,建物塗装工
JT0044,44,1,建築工事防水工
JT0044,44,2,シーリング工（防水工事）
JT0044,44,3,土木工事防水工
JT0045,45,1,建物断熱工
JT0045,45,2,ダクト断熱工
JT0045,45,3,熱絶縁工
JT0045,45,4,保温工（熱絶縁工事）
JT0046,46,1,エアコン取付作業員（家庭用）
JT0046,46,2,屋内電気配線工事作業員
JT0046,46,3,オール電化工事作業員
JT0046,46,4,航空機配線作業員
JT0046,46,5,産業用電気装置据付作業員
JT0046,46,6,照明器取付作業員
JT0046,46,7,船舶配線作業員
JT0046,46,8,太陽光発電装置据付作業員（電気工事）
JT0046,46,9,鉄道車両配線作業員
JT0046,46,10,電気工事検査員
JT0046,46,11,電気配線作業員
JT0046,46,12,電工（電気配線工事）
JT0047,47,1,ガス配管工
JT0047,47,2,空調配管工
JT0047,47,3,航空機配管工
JT0047,47,4,水道配管工
JT0047,47,5,スチーム配管工
JT0047,47,6,船舶配管工
